City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,deniliquin,-35.5333,144.9667,10.65,67,100,10.33,AU,1721395358
109,jatai,-17.8814,-51.7144,25.18,32,0,4.13,BR,1721395170
110,wanning,18.8003,110.3967,27.74,91,99,2.45,CN,1721395358
111,cambria,35.5641,-121.0808,18.88,65,0,1.53,US,1721395358
112,hawaiian paradise park,19.5933,-154.9731,21.13,97,20,2.57,US,1721395358
113,mogocha,53.7333,119.7667,15.93,96,100,1.11,RU,1721395359
114,kingston,17.997,-76.7936,31.76,70,20,1.03,JM,1721394934
115,urangan,-25.3,152.9,14.45,58,0,4.33,AU,1721395359
116,kailua-kona,19.6406,-155.9956,24.98,91,100,2.06,US,1721395071
117,salem,11.65,78.1667,26.11,94,75,2.06,IN,1721394893
118,cuito,-12.3833,16.9333,27.22,9,18,2.87,AO,1721395360
119,praia da vitoria,38.7333,-27.0667,25.14,65,20,1.79,PT,1721395360
120,kimbe,-5.5502,150.1429,25.3,83,100,3.98,PG,1721395360
121,lebu,-37.6167,-73.65,4.38,75,2,8.0,CL,1721395360
122,papatowai,-46.5619,169.4708,7.37,94,100,3.85,NZ,1721395360
123,mandera,3.9366,41.867,30.8,42,100,8.38,KE,1721395361
124,sola,-13.8833,167.55,26.01,83,87,9.48,VU,1721395361
125,vernon,50.2581,-119.2691,22.47,52,6,4.12,CA,1721395315
126,punta arenas,-53.15,-70.9167,5.06,81,40,8.75,CL,1721395282
127,kudahuvadhoo,2.6708,72.8944,29.11,72,82,3.36,MV,1721395271
128,aksu,41.1231,80.2644,32.15,23,0,8.1,CN,1721395362
129,holualoa,19.6228,-155.9522,22.91,91,100,2.06,US,1721395362
130,laascaanood,8.4774,47.3597,29.2,43,82,13.49,SO,1721395362
131,borsa,47.6553,24.6633,24.08,73,65,1.47,RO,1721395362
132,lumberton,34.6182,-79.0086,24.56,100,100,0.0,US,1721395362
133,arauca,7.0847,-70.7591,24.0,94,20,1.54,CO,1721395144
134,darbhanga,26.1667,85.9,35.02,53,100,4.16,IN,1721395363
135,beira,-19.8436,34.8389,28.05,61,20,6.69,MZ,1721395363
136,westport,41.1415,-73.3579,23.9,66,0,5.66,US,1721395363
137,claremont,34.0967,-117.7198,22.83,83,0,1.54,US,1721395363
138,fortuna,40.5982,-124.1573,13.29,96,100,2.57,US,1721395364
139,tosontsengel,48.7567,98.2839,21.29,36,100,2.49,MN,1721395270
140,port-vila,-17.7338,168.3219,22.78,78,100,1.03,VU,1721395364
141,fernie,49.5,-115.0687,11.38,62,0,1.9,CA,1721395364
142,lianzhou,24.7811,112.3825,26.48,93,100,1.24,CN,1721395364
143,nadi,-17.8,177.4167,27.0,74,40,7.72,FJ,1721395110
144,jieshi,22.8134,115.8257,29.29,83,9,3.17,CN,1721395365
145,el nido,11.1858,119.3956,26.61,86,100,5.88,PH,1721395365
146,sitka,57.0531,-135.33,14.94,88,100,0.0,US,1721395365
147,polyarnyy,69.1989,33.4478,18.62,67,32,5.65,RU,1721395365
148,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,94,100,2.06,BR,1721395365
149,ciudad de armeria,18.9333,-103.9667,26.31,75,99,0.84,MX,1721395366
150,pucallpa,-8.3791,-74.5539,24.02,78,36,1.54,PE,1721395366
151,karungdong,5.8844,121.263,27.26,84,66,3.4,PH,1721395366
152,port elizabeth,-33.918,25.5701,18.94,55,20,6.69,ZA,1721395366
153,aripuana,-9.1667,-60.6333,27.1,36,5,1.26,BR,1721395366
154,talnakh,69.4865,88.3972,14.19,43,12,7.39,RU,1721395366
155,princeville,45.7668,-61.2985,23.42,83,75,5.66,CA,1721395367
156,muborak,39.2553,65.1528,36.36,18,17,6.52,UZ,1721395367
157,saint-joseph,-21.3667,55.6167,23.59,79,42,3.96,RE,1721395367
158,sesvete,45.8311,16.1164,33.78,49,0,4.12,HR,1721395367
159,enewetak,11.3474,162.3373,28.61,81,99,8.24,MH,1721395368
160,krasnyy chikoy,50.3643,108.7512,19.75,61,73,1.95,RU,1721395368
161,lospalos,-8.5186,127.0025,19.9,73,83,3.81,TL,1721395369
162,new norfolk,-42.7826,147.0587,6.51,96,100,0.68,AU,1721395369
163,tateyama,34.9833,139.8667,27.83,92,100,9.57,JP,1721395369
164,longyearbyen,78.2186,15.6401,7.91,76,20,10.29,SJ,1721395369
165,sao francisco de assis,-29.5503,-55.1311,20.51,74,0,2.35,BR,1721395369
166,san,13.3034,-4.8956,32.21,57,57,3.06,ML,1721395369
167,luderitz,-26.6481,15.1594,17.72,64,0,9.54,NA,1721395370
168,bubaque,11.2833,-15.8333,26.28,87,100,8.33,GW,1721395370
169,bredasdorp,-34.5322,20.0403,15.54,63,9,8.63,ZA,1721395370
170,chonchi,-42.6128,-73.8092,3.4,87,95,1.66,CL,1721395370
171,vanimo,-2.6741,141.3028,25.84,92,83,2.81,PG,1721395370
172,hammerfest,70.6634,23.6821,26.25,50,20,3.09,NO,1721395371
173,kavaratti,10.5669,72.642,27.22,85,100,7.83,IN,1721395371
174,tsengel,49.4783,100.8894,20.87,55,100,0.97,MN,1721395371
175,sawbridgeworth,51.8167,0.15,31.28,46,58,5.14,GB,1721395371
176,ujae,8.9322,165.7642,28.47,78,74,7.87,MH,1721395371
177,moapa valley,36.5805,-114.4703,30.06,34,16,0.77,US,1721395371
178,irece,-11.3042,-41.8558,25.59,41,0,5.58,BR,1721395372
179,funafuti,-8.5243,179.1942,29.0,84,40,2.06,TV,1721395372
180,nadym,65.5333,72.5167,21.27,52,25,5.99,RU,1721395372
181,bomdila,27.25,92.4,12.52,98,93,1.28,IN,1721395372
182,tiksi,71.6872,128.8694,4.9,71,100,1.81,RU,1721395372
183,yatou,37.15,122.3833,24.73,94,100,5.49,CN,1721395373
184,molde,62.7375,7.1591,20.51,72,40,2.57,NO,1721395373
185,sao jose da coroa grande,-8.8978,-35.1478,26.53,69,6,6.14,BR,1721395373
186,port mathurin,-19.6833,63.4167,23.29,71,0,5.36,MU,1721395373
187,aykhal,66.0,111.5,16.51,58,100,3.73,RU,1721395374
188,rio tuba,8.5061,117.4317,26.08,84,100,1.5,PH,1721395374
189,luau,-10.7073,22.2247,33.29,9,8,0.67,AO,1721395374
190,upata,8.0086,-62.3989,20.66,96,99,1.12,VE,1721395374
191,saipan,15.1355,145.701,28.39,78,20,4.63,MP,1721395374
192,avarua,-21.2078,-159.775,21.03,68,40,2.06,CK,1721395375
193,karachi,24.9056,67.0822,32.9,79,75,4.12,PK,1721395323
194,valparaiso,-33.0393,-71.6273,11.75,87,75,2.57,CL,1721395374
195,lincoln city,44.9582,-124.0179,13.8,97,1,1.18,US,1721395375
196,kerema,-7.9631,145.7785,24.19,83,100,4.65,PG,1721395375
197,madera,37.1666,-119.8343,24.58,39,0,0.92,US,1721395376
198,usinsk,65.9939,57.5281,19.97,47,18,7.44,RU,1721395376
199,san antonio de pale,-1.4014,5.6325,23.13,77,97,3.62,GQ,1721395090
200,nemuro,43.3236,145.575,16.22,96,100,6.32,JP,1721395376
201,anadyr,64.75,177.4833,13.28,87,0,3.58,RU,1721395376
202,canutama,-6.5339,-64.3831,28.17,44,11,1.16,BR,1721395377
203,susuman,62.7833,148.1667,15.54,78,98,3.31,RU,1721395377
204,khadan khak,30.7477,67.7085,30.99,26,100,2.99,PK,1721395377
205,thunder bay,48.4001,-89.3168,17.99,77,75,1.03,CA,1721395377
206,gdansk,54.3521,18.6464,24.49,45,20,3.6,PL,1721395377
207,rongelap,11.1635,166.8941,27.97,82,82,9.05,MH,1721395378
208,soio,-6.1349,12.3689,24.49,72,50,5.12,AO,1721395378
209,udachny,66.4167,112.4,17.59,60,38,1.26,RU,1721395378
210,bocaiuva,-17.1078,-43.815,23.84,36,2,4.57,BR,1721395378
211,silifke,36.3778,33.9344,32.28,67,0,3.83,TR,1721395378
212,guaraniacu,-25.1008,-52.8781,19.63,59,0,1.46,BR,1721395379
213,san pedro pochutla,15.7333,-96.4667,25.84,84,68,1.59,MX,1721395379
214,ust-nera,64.5667,143.2,18.35,62,100,1.27,RU,1721395379
215,aasiaat,68.7098,-52.8699,5.22,87,37,1.88,GL,1721395379
216,flin flon,54.7682,-101.865,20.91,78,0,0.0,CA,1721395379
217,onega,63.9061,38.1404,18.33,91,100,2.05,RU,1721395379
218,east london,-33.0153,27.9116,22.52,33,0,4.63,ZA,1721395380
219,malpura,26.2833,75.3833,31.16,65,100,5.93,IN,1721395380
220,tambovka,50.0969,128.0489,18.67,92,2,3.14,RU,1721395380
221,ust'-ilimsk,58.0006,102.6619,22.49,67,100,1.3,RU,1721395380
222,alotau,-10.3069,150.4462,21.11,79,94,1.84,PG,1721395380
223,tambopata,-12.7333,-69.1833,19.94,88,0,1.54,PE,1721395381
224,guerrero negro,27.9769,-114.0611,18.62,91,60,3.54,MX,1721395381
225,san patricio,28.017,-97.5169,28.91,82,17,2.43,US,1721395381
226,afaahiti,-17.75,-149.2833,24.93,76,67,8.76,PF,1721395381
227,mamuju,-2.6748,118.8885,26.83,88,50,2.94,ID,1721395381
228,flying fish cove,-10.4217,105.6791,24.82,94,100,6.17,CX,1721395381
229,st. john's,47.5649,-52.7093,22.66,90,75,8.75,CA,1721395100
230,saint-philippe,-21.3585,55.7679,22.77,79,51,3.78,RE,1721395382
231,villiers,-27.0303,28.6006,21.74,11,0,5.13,ZA,1721395382
232,at taj,24.2049,23.2857,38.99,12,3,6.06,LY,1721395382
233,katsuren-haebaru,26.3369,127.8719,31.43,77,20,5.14,JP,1721395382
234,ebon,4.582,168.6964,28.36,78,87,7.08,MH,1721395383
235,sisimiut,66.9395,-53.6735,10.67,63,87,1.37,GL,1721395383
236,turabah,21.2141,41.6331,40.91,8,100,7.52,SA,1721395383
237,tiruchirappalli,10.8167,78.6833,32.06,62,75,7.72,IN,1721395383
238,chifeng,42.2683,118.9636,26.01,51,100,2.52,CN,1721395384
239,olonkinbyen,70.9221,-8.7187,4.85,94,100,1.87,SJ,1721395384
240,targuist,34.9377,-4.3186,35.66,21,12,3.31,MA,1721395384
241,south boston,42.3334,-71.0495,23.27,62,20,3.6,US,1721395384
242,cabo san lucas,22.8909,-109.9124,29.17,50,0,3.6,MX,1721395282
243,opelika,32.6454,-85.3783,23.93,89,40,0.0,US,1721395385
244,sinabang,2.4803,96.3801,27.35,79,100,1.91,ID,1721395385
245,chibougamau,49.9168,-74.3659,17.79,63,75,4.12,CA,1721395385
246,jayapura,-2.5333,140.7,26.66,92,59,2.97,ID,1721395385
247,celestun,20.8667,-90.4,25.66,86,100,4.04,MX,1721395385
248,isafjordur,66.0755,-23.124,11.02,82,40,4.12,IS,1721395385
249,sant lluis,39.8526,4.2594,31.22,40,0,4.63,ES,1721395386
250,lycksele,64.5954,18.6735,21.93,68,20,6.17,SE,1721395386
251,atafu village,-8.5421,-172.5159,28.55,75,100,8.82,TK,1721395386
252,kolyshley,52.7005,44.5367,30.02,36,100,1.83,RU,1721395387
253,bushehr,28.9684,50.8385,38.05,47,0,6.17,IR,1721395387
